~NAME~,~SEARCH TERM~,~SEASON~,~EPISODE OFFSET~,~STORAGE DRIVE LETTER~
Saenai Heroine no Sodatekata,saekano s,02,0,H
Saiyuki Reload Blast,saiyuki reload blast,01,0,F
Saenai Heroine no Sodatekata,saenai heroine,02,0,H
Sakurada Reset,sagrada reset,01,0,F
Sakurada Reset,sakurada reset,01,0,F
Sakura Quest,sakura quest,01,0,F
Saiki Kusuo no Psi-nan,saiki kusuo,01,0,H
Scum's Wish,kuzu no honkai,01,0,H
Seikaisuru Kado,seikaisuru kado,01,0,F
Seiren,seiren,01,0,H
Shingeki no Bahamut,shingeki no bahamut,02,0,F
Showa Genroku Rakugo Shinju,genroku rakugo shinjuu,02,0,H
Shoukoku no Altair,shoukoku no altair,01,0,F
Sousei no Onmyouji,onmyouji,01,0,H
Soushin Shoujo Matoi,soushin shoujo,01,0,H
Super Lovers,super lovers,02,0,H
Shuumatsu Nani Shitemasu ka Isogashii Desu ka Sukutte Moratte Ii Desu ka,shuumatsu nani shitemasuka,01,0,F
Tenshi no 3P!,tenshi no 3p!,01,0,F
The Reflection Wave One,the reflection,01,0,H
Trickster,trickster,01,0,H
Tsugumomo,tsugumomo,01,0,F
Tsuki ga Kirei,tsuki ga kirei,01,0,F
Tsurezure Children,tsurezure children,01,0,F
Uchouten Kazoku,uchouten kazoku,02,0,H
Urara Meirochou,urara meirochou,01,0,H
Warau Salesman New,warau salesman,01,0,F
Youjo Senki,youjo senki,01,0,H
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,youkoso jitsuryoku shijou shugi no kyoushitsu e,01,0,F
Yowamushi Pedal,yowamushi pedal,03,0,H
Zero kara Hajimeru Mahou no Sho,zero kara hajimeru mahou no sho,01,0,F
